time,temperature_2m_C,relative_humidity_2m,dew_point_2m_C,precipitation_mm,rain_mm
2020-01-01 00:00:00,18.3,94,17.3,0.0,0.0
2020-01-01 01:00:00,17.7,95,16.8,0.0,0.0
2020-01-01 02:00:00,17.4,95,16.6,0.0,0.0
2020-01-01 03:00:00,18.7,90,17.0,0.0,0.0
2020-01-01 04:00:00,18.7,89,16.9,0.0,0.0
2020-01-01 05:00:00,19.0,87,16.8,0.0,0.0
2020-01-01 06:00:00,17.7,92,16.4,0.0,0.0
2020-01-01 07:00:00,17.4,93,16.3,0.0,0.0
2020-01-01 08:00:00,19.0,90,17.3,0.0,0.0
2020-01-01 09:00:00,22.0,80,18.3,0.0,0.0
2020-01-01 10:00:00,24.1,64,17.0,0.0,0.0
2020-01-01 11:00:00,25.7,57,16.6,0.0,0.0
2020-01-01 12:00:00,26.7,56,17.3,0.0,0.0
2020-01-01 13:00:00,27.2,55,17.3,0.1,0.1
2020-01-01 14:00:00,27.6,51,16.5,0.0,0.0
2020-01-01 15:00:00,27.3,50,16.1,0.0,0.0
2020-01-01 16:00:00,27.5,50,16.1,0.0,0.0
2020-01-01 17:00:00,27.3,51,16.2,0.0,0.0
2020-01-01 18:00:00,25.6,66,18.8,0.0,0.0
2020-01-01 19:00:00,22.9,79,19.0,0.0,0.0
2020-01-01 20:00:00,21.4,85,18.8,0.0,0.0
2020-01-01 21:00:00,20.6,86,18.2,0.0,0.0
2020-01-01 22:00:00,20.2,85,17.5,0.0,0.0
2020-01-01 23:00:00,19.5,87,17.2,0.0,0.0
2020-01-02 00:00:00,19.0,88,16.9,0.0,0.0
2020-01-02 01:00:00,18.6,89,16.7,0.0,0.0
2020-01-02 02:00:00,18.6,88,16.6,0.0,0.0
2020-01-02 03:00:00,17.9,90,16.2,0.0,0.0
2020-01-02 04:00:00,17.5,92,16.1,0.0,0.0
2020-01-02 05:00:00,18.1,87,15.9,0.0,0.0
2020-01-02 06:00:00,18.4,85,15.8,0.0,0.0
2020-01-02 07:00:00,17.4,89,15.5,0.0,0.0
2020-01-02 08:00:00,18.9,87,16.8,0.0,0.0
2020-01-02 09:00:00,22.0,78,18.0,0.0,0.0
2020-01-02 10:00:00,24.5,64,17.2,0.0,0.0
2020-01-02 11:00:00,25.8,58,16.8,0.0,0.0
2020-01-02 12:00:00,27.2,52,16.5,0.0,0.0
2020-01-02 13:00:00,27.6,48,15.6,0.0,0.0
2020-01-02 14:00:00,27.7,47,15.5,0.0,0.0
2020-01-02 15:00:00,27.3,48,15.4,0.0,0.0
2020-01-02 16:00:00,27.6,48,15.7,0.0,0.0
2020-01-02 17:00:00,27.3,49,15.7,0.0,0.0
2020-01-02 18:00:00,24.9,72,19.5,0.0,0.0
2020-01-02 19:00:00,23.2,79,19.5,0.0,0.0
2020-01-02 20:00:00,22.3,78,18.3,0.0,0.0
2020-01-02 21:00:00,21.0,83,18.0,0.0,0.0
2020-01-02 22:00:00,20.7,82,17.5,0.0,0.0
2020-01-02 23:00:00,19.8,85,17.2,0.0,0.0
2020-01-03 00:00:00,19.5,87,17.2,0.0,0.0
2020-01-03 01:00:00,19.2,89,17.3,0.0,0.0
2020-01-03 02:00:00,19.0,89,17.1,0.0,0.0
2020-01-03 03:00:00,18.2,92,16.8,0.0,0.0
2020-01-03 04:00:00,18.1,93,16.9,0.0,0.0
2020-01-03 05:00:00,19.1,85,16.6,0.0,0.0
2020-01-03 06:00:00,19.6,82,16.3,0.0,0.0
2020-01-03 07:00:00,19.8,79,16.1,0.0,0.0
2020-01-03 08:00:00,20.5,81,17.1,0.0,0.0
2020-01-03 09:00:00,23.7,69,17.7,0.0,0.0
2020-01-03 10:00:00,25.2,60,17.0,0.0,0.0
2020-01-03 11:00:00,26.3,52,15.8,0.0,0.0
2020-01-03 12:00:00,27.1,50,15.9,0.0,0.0
2020-01-03 13:00:00,28.1,47,15.8,0.0,0.0
2020-01-03 14:00:00,28.8,45,15.6,0.0,0.0
2020-01-03 15:00:00,28.4,41,13.9,0.0,0.0
2020-01-03 16:00:00,28.3,42,14.2,0.0,0.0
2020-01-03 17:00:00,27.7,44,14.5,0.0,0.0
2020-01-03 18:00:00,26.2,60,17.9,0.0,0.0
2020-01-03 19:00:00,23.7,70,18.0,0.0,0.0
2020-01-03 20:00:00,22.1,77,17.9,0.0,0.0
2020-01-03 21:00:00,20.8,83,17.8,0.0,0.0
2020-01-03 22:00:00,20.3,84,17.5,0.0,0.0
2020-01-03 23:00:00,19.9,86,17.5,0.0,0.0
2020-01-04 00:00:00,19.5,88,17.5,0.0,0.0
2020-01-04 01:00:00,19.3,90,17.7,0.0,0.0
2020-01-04 02:00:00,19.4,90,17.7,0.0,0.0
2020-01-04 03:00:00,18.4,93,17.3,0.0,0.0
2020-01-04 04:00:00,18.8,92,17.5,0.0,0.0
2020-01-04 05:00:00,18.2,94,17.2,0.0,0.0
2020-01-04 06:00:00,18.0,94,16.9,0.0,0.0
2020-01-04 07:00:00,17.8,94,16.8,0.0,0.0
2020-01-04 08:00:00,20.3,84,17.6,0.0,0.0
2020-01-04 09:00:00,23.3,72,17.9,0.0,0.0
2020-01-04 10:00:00,25.4,55,15.7,0.0,0.0
2020-01-04 11:00:00,26.4,52,15.8,0.0,0.0
2020-01-04 12:00:00,27.5,50,16.0,0.0,0.0
2020-01-04 13:00:00,28.2,47,15.9,0.0,0.0
2020-01-04 14:00:00,28.5,46,15.8,0.0,0.0
2020-01-04 15:00:00,27.3,46,14.7,0.0,0.0
2020-01-04 16:00:00,27.3,47,15.1,0.0,0.0
2020-01-04 17:00:00,25.2,67,18.6,0.0,0.0
2020-01-04 18:00:00,23.9,73,18.8,0.0,0.0
2020-01-04 19:00:00,22.3,82,19.1,0.0,0.0
2020-01-04 20:00:00,21.3,85,18.7,0.0,0.0
2020-01-04 21:00:00,20.9,87,18.6,0.0,0.0
2020-01-04 22:00:00,20.3,89,18.4,0.0,0.0
2020-01-04 23:00:00,20.0,90,18.3,0.0,0.0
2020-01-05 00:00:00,19.6,91,18.1,0.0,0.0
2020-01-05 01:00:00,19.3,94,18.2,0.0,0.0
2020-01-05 02:00:00,19.4,91,17.8,0.0,0.0
2020-01-05 03:00:00,19.0,93,17.8,0.1,0.1
2020-01-05 04:00:00,19.2,90,17.6,0.0,0.0
2020-01-05 05:00:00,19.0,91,17.6,0.0,0.0
2020-01-05 06:00:00,18.4,94,17.5,0.0,0.0
2020-01-05 07:00:00,18.6,91,17.1,0.0,0.0
2020-01-05 08:00:00,19.8,85,17.2,0.0,0.0
2020-01-05 09:00:00,22.0,75,17.5,0.0,0.0
2020-01-05 10:00:00,24.5,62,16.8,0.0,0.0
2020-01-05 11:00:00,26.0,55,16.4,0.0,0.0
2020-01-05 12:00:00,26.9,53,16.5,0.0,0.0
2020-01-05 13:00:00,27.6,52,17.0,0.0,0.0
2020-01-05 14:00:00,27.9,52,17.2,0.0,0.0
2020-01-05 15:00:00,27.8,49,16.3,0.0,0.0
2020-01-05 16:00:00,27.9,49,16.2,0.0,0.0
2020-01-05 17:00:00,27.2,53,16.7,0.0,0.0
2020-01-05 18:00:00,25.7,64,18.3,0.0,0.0
2020-01-05 19:00:00,24.0,75,19.3,0.0,0.0
2020-01-05 20:00:00,22.7,82,19.5,0.0,0.0
2020-01-05 21:00:00,21.9,85,19.3,0.0,0.0
2020-01-05 22:00:00,21.2,88,19.2,0.0,0.0
2020-01-05 23:00:00,20.9,78,16.9,0.0,0.0
2020-01-06 00:00:00,20.1,82,16.8,0.0,0.0
2020-01-06 01:00:00,19.7,86,17.3,0.0,0.0
2020-01-06 02:00:00,19.5,89,17.5,0.0,0.0
2020-01-06 03:00:00,19.0,90,17.3,0.1,0.1
2020-01-06 04:00:00,19.1,90,17.3,0.3,0.3
2020-01-06 05:00:00,18.8,90,17.2,0.0,0.0
2020-01-06 06:00:00,18.3,94,17.3,0.0,0.0
2020-01-06 07:00:00,17.6,97,17.1,0.0,0.0
2020-01-06 08:00:00,19.3,91,17.8,0.0,0.0
2020-01-06 09:00:00,21.3,83,18.2,0.0,0.0
2020-01-06 10:00:00,23.0,74,18.1,0.0,0.0
2020-01-06 11:00:00,24.5,66,17.7,0.1,0.1
2020-01-06 12:00:00,25.5,62,17.6,0.0,0.0
2020-01-06 13:00:00,26.6,58,17.7,0.0,0.0
2020-01-06 14:00:00,26.4,58,17.5,0.0,0.0
2020-01-06 15:00:00,26.7,51,15.7,0.1,0.1
2020-01-06 16:00:00,26.7,50,15.5,0.0,0.0
2020-01-06 17:00:00,26.0,54,15.8,0.0,0.0
2020-01-06 18:00:00,25.1,62,17.3,0.0,0.0
2020-01-06 19:00:00,22.8,78,18.9,0.0,0.0
2020-01-06 20:00:00,23.2,68,17.0,0.0,0.0
2020-01-06 21:00:00,23.1,65,16.1,0.0,0.0
2020-01-06 22:00:00,20.9,80,17.2,0.0,0.0
2020-01-06 23:00:00,20.2,83,17.3,0.0,0.0
2020-01-07 00:00:00,19.7,87,17.5,0.0,0.0
2020-01-07 01:00:00,19.1,89,17.3,0.0,0.0
2020-01-07 02:00:00,19.0,89,17.1,0.0,0.0
2020-01-07 03:00:00,18.4,89,16.6,0.0,0.0
2020-01-07 04:00:00,18.2,91,16.6,0.0,0.0
2020-01-07 05:00:00,17.7,93,16.5,0.0,0.0
2020-01-07 06:00:00,17.6,94,16.7,0.0,0.0
2020-01-07 07:00:00,17.5,95,16.7,0.0,0.0
2020-01-07 08:00:00,19.6,91,18.1,0.0,0.0
2020-01-07 09:00:00,22.2,81,18.7,0.0,0.0
2020-01-07 10:00:00,24.3,67,17.8,0.0,0.0
2020-01-07 11:00:00,25.7,59,17.2,0.0,0.0
2020-01-07 12:00:00,26.6,56,17.1,0.2,0.2
2020-01-07 13:00:00,27.0,57,17.9,0.0,0.0
2020-01-07 14:00:00,27.7,55,17.7,0.0,0.0
2020-01-07 15:00:00,27.5,51,16.3,0.0,0.0
2020-01-07 16:00:00,27.6,51,16.4,0.0,0.0
2020-01-07 17:00:00,27.1,51,16.2,0.0,0.0
2020-01-07 18:00:00,25.8,61,17.8,0.0,0.0
2020-01-07 19:00:00,23.6,79,19.7,0.0,0.0
2020-01-07 20:00:00,22.6,82,19.4,0.0,0.0
2020-01-07 21:00:00,21.5,86,19.1,0.0,0.0
2020-01-07 22:00:00,20.9,89,19.0,0.0,0.0
2020-01-07 23:00:00,21.0,86,18.6,0.0,0.0
2020-01-08 00:00:00,20.6,87,18.4,0.0,0.0
2020-01-08 01:00:00,20.1,91,18.5,0.5,0.5
2020-01-08 02:00:00,19.9,92,18.5,0.1,0.1
2020-01-08 03:00:00,19.7,94,18.6,0.0,0.0
2020-01-08 04:00:00,19.7,92,18.4,0.0,0.0
2020-01-08 05:00:00,19.3,94,18.3,0.0,0.0
2020-01-08 06:00:00,18.7,97,18.2,0.1,0.1
2020-01-08 07:00:00,18.4,98,18.0,0.8,0.8
2020-01-08 08:00:00,19.4,95,18.7,0.4,0.4
2020-01-08 09:00:00,21.1,91,19.5,0.0,0.0
2020-01-08 10:00:00,22.3,80,18.8,0.0,0.0
2020-01-08 11:00:00,24.0,72,18.7,0.0,0.0
2020-01-08 12:00:00,25.0,70,19.0,0.1,0.1
2020-01-08 13:00:00,25.9,68,19.7,0.1,0.1
2020-01-08 14:00:00,24.0,72,18.6,0.8,0.8
2020-01-08 15:00:00,27.1,52,16.4,0.1,0.1
2020-01-08 16:00:00,26.8,54,16.6,0.0,0.0
2020-01-08 17:00:00,26.1,58,17.3,0.0,0.0
2020-01-08 18:00:00,24.6,68,18.4,0.0,0.0
2020-01-08 19:00:00,23.5,77,19.2,0.0,0.0
2020-01-08 20:00:00,23.0,78,19.0,0.0,0.0
2020-01-08 21:00:00,21.4,85,18.7,0.0,0.0
2020-01-08 22:00:00,20.8,87,18.5,0.0,0.0
2020-01-08 23:00:00,20.7,86,18.4,0.0,0.0
2020-01-09 00:00:00,20.6,88,18.6,0.0,0.0
2020-01-09 01:00:00,19.9,92,18.5,0.0,0.0
2020-01-09 02:00:00,20.1,91,18.5,0.0,0.0
2020-01-09 03:00:00,18.7,93,17.6,0.0,0.0
2020-01-09 04:00:00,18.9,93,17.8,0.0,0.0
2020-01-09 05:00:00,18.5,93,17.3,0.0,0.0
2020-01-09 06:00:00,18.4,94,17.4,0.2,0.2
2020-01-09 07:00:00,18.5,94,17.5,0.0,0.0
2020-01-09 08:00:00,19.9,89,18.1,0.0,0.0
2020-01-09 09:00:00,22.3,80,18.6,0.0,0.0
2020-01-09 10:00:00,24.1,70,18.3,0.0,0.0
2020-01-09 11:00:00,25.4,64,18.0,0.0,0.0
2020-01-09 12:00:00,26.9,59,18.1,0.0,0.0
2020-01-09 13:00:00,27.8,53,17.2,0.1,0.1
2020-01-09 14:00:00,28.1,48,16.0,0.0,0.0
2020-01-09 15:00:00,26.9,54,16.9,0.1,0.1
2020-01-09 16:00:00,25.7,62,17.8,0.2,0.2
2020-01-09 17:00:00,25.9,62,18.0,0.0,0.0
2020-01-09 18:00:00,25.2,66,18.3,0.0,0.0
2020-01-09 19:00:00,23.0,81,19.6,0.0,0.0
2020-01-09 20:00:00,22.0,81,18.6,0.0,0.0
2020-01-09 21:00:00,21.4,82,18.2,0.0,0.0
