"","time","temperature"
"1",2022-01-01,26.9
"2",2022-01-02,32
"3",2022-01-03,31.7
"4",2022-01-04,33.1
"5",2022-01-05,33.4
"6",2022-01-06,35.2
"7",2022-01-07,35
"8",2022-01-08,33.2
"9",2022-01-09,33.4
"10",2022-01-10,34.6
"11",2022-01-11,34.1
"12",2022-01-12,35.9
"13",2022-01-13,33.8
"14",2022-01-14,36.2
"15",2022-01-15,31
"16",2022-01-16,31.9
"17",2022-01-17,21.5
"18",2022-01-18,26.7
"19",2022-01-19,29.8
"20",2022-01-20,31.3
"21",2022-01-21,31.2
"22",2022-01-22,31.9
"23",2022-01-23,31.9
"24",2022-01-24,33.3
"25",2022-01-25,33.9
"26",2022-01-26,34
"27",2022-01-27,32.3
"28",2022-01-28,30.5
"29",2022-01-29,34
"30",2022-01-30,35
"31",2022-01-31,25.6
"32",2022-02-01,26.8
"33",2022-02-02,34.5
"34",2022-02-03,32.7
"35",2022-02-04,30.8
"36",2022-02-05,30.8
"37",2022-02-06,34.3
"38",2022-02-07,32.4
"39",2022-02-08,35.8
"40",2022-02-09,33.3
"41",2022-02-10,32.3
"42",2022-02-11,34.6
"43",2022-02-12,34
"44",2022-02-13,34.3
"45",2022-02-14,36.3
"46",2022-02-15,34.3
"47",2022-02-16,33.4
"48",2022-02-17,32.6
"49",2022-02-18,31.6
"50",2022-02-19,33.8
"51",2022-02-20,32.9
"52",2022-02-21,32.7
"53",2022-02-22,37
"54",2022-02-23,34
"55",2022-02-24,33.1
"56",2022-02-25,33.7
"57",2022-02-26,34
"58",2022-02-27,33.1
"59",2022-02-28,33.7
"60",2022-03-01,35.5
"61",2022-03-02,35.1
"62",2022-03-03,35.2
"63",2022-03-04,34
"64",2022-03-05,36.2
"65",2022-03-06,36.4
"66",2022-03-07,35.7
"67",2022-03-08,35.2
"68",2022-03-09,38.6
"69",2022-03-10,35.9
"70",2022-03-11,35.1
"71",2022-03-12,36.9
"72",2022-03-13,36.3
"73",2022-03-14,37
"74",2022-03-15,35.2
"75",2022-03-16,34.8
"76",2022-03-17,31
"77",2022-03-18,31.7
"78",2022-03-19,33.1
"79",2022-03-20,33
"80",2022-03-21,37.5
"81",2022-03-22,31.4
"82",2022-03-23,32.3
"83",2022-03-24,35.4
"84",2022-03-25,33.4
"85",2022-03-26,33.7
"86",2022-03-27,33.9
"87",2022-03-28,33.1
"88",2022-03-29,35.1
"89",2022-03-30,31.4
"90",2022-03-31,31.5
"91",2022-04-01,34.8
"92",2022-04-02,32.5
"93",2022-04-03,34.1
"94",2022-04-04,35.3
"95",2022-04-05,35.2
"96",2022-04-06,34.1
"97",2022-04-07,34.2
"98",2022-04-08,32.7
"99",2022-04-09,33.7
"100",2022-04-10,33.5
"101",2022-04-11,31.8
"102",2022-04-12,29.4
"103",2022-04-13,34.5
"104",2022-04-14,31.3
"105",2022-04-15,29.4
"106",2022-04-16,21.3
"107",2022-04-17,34.1
"108",2022-04-18,33.7
"109",2022-04-19,34.6
"110",2022-04-20,30.3
"111",2022-04-21,28.8
"112",2022-04-22,29.1
"113",2022-04-23,34.2
"114",2022-04-24,21.8
"115",2022-04-25,22.9
"116",2022-04-26,31.6
"117",2022-04-27,27.8
"118",2022-04-28,30.1
"119",2022-04-29,26.6
"120",2022-04-30,31.2
"121",2022-05-01,28.6
"122",2022-05-02,29.4
"123",2022-05-03,29.8
"124",2022-05-04,28.7
"125",2022-05-05,29.5
"126",2022-05-06,28
"127",2022-05-07,30.1
"128",2022-05-08,31.2
"129",2022-05-09,32.4
"130",2022-05-10,32.5
"131",2022-05-11,32.8
"132",2022-05-12,31.6
"133",2022-05-13,32.3
"134",2022-05-14,30.7
"135",2022-05-15,32.6
"136",2022-05-16,31.2
"137",2022-05-17,31.9
"138",2022-05-18,31.4
"139",2022-05-19,29.1
"140",2022-05-20,30.3
"141",2022-05-21,30.9
"142",2022-05-22,33
"143",2022-05-23,32.2
"144",2022-05-24,31.3
"145",2022-05-25,27.4
"146",2022-05-26,32
"147",2022-05-27,31.2
"148",2022-05-28,29.3
"149",2022-05-29,27.1
"150",2022-05-30,25.9
"151",2022-05-31,29.7
"152",2022-06-01,28.9
"153",2022-06-02,29.1
"154",2022-06-03,27.9
"155",2022-06-04,28.6
"156",2022-06-05,27.1
"157",2022-06-06,29
"158",2022-06-07,29.6
"159",2022-06-08,23
"160",2022-06-09,26.8
"161",2022-06-10,29.3
"162",2022-06-11,29
"163",2022-06-12,31
"164",2022-06-13,31
"165",2022-06-14,32.6
"166",2022-06-15,32.9
"167",2022-06-16,30.3
"168",2022-06-17,31.3
"169",2022-06-18,29.7
"170",2022-06-19,28.5
"171",2022-06-20,29.3
"172",2022-06-21,30.2
"173",2022-06-22,32
"174",2022-06-23,30.2
"175",2022-06-24,28.5
"176",2022-06-25,30.2
"177",2022-06-26,29.1
"178",2022-06-27,27.2
"179",2022-06-28,27.5
"180",2022-06-29,26.8
"181",2022-06-30,28.4
"182",2022-07-01,28.9
"183",2022-07-02,27.1
"184",2022-07-03,26.6
"185",2022-07-04,27
"186",2022-07-05,29.1
"187",2022-07-06,29.8
"188",2022-07-07,28
"189",2022-07-08,28.5
"190",2022-07-09,27.6
"191",2022-07-10,27.9
"192",2022-07-11,27.2
"193",2022-07-12,28.5
"194",2022-07-13,28
"195",2022-07-14,28.8
"196",2022-07-15,28.5
"197",2022-07-16,30.6
"198",2022-07-17,30.9
"199",2022-07-18,27
"200",2022-07-19,30.2
"201",2022-07-20,28.8
"202",2022-07-21,29.3
"203",2022-07-22,27.7
"204",2022-07-23,30.2
"205",2022-07-24,28.1
"206",2022-07-25,30.3
"207",2022-07-26,29.6
"208",2022-07-27,30.5
"209",2022-07-28,33.4
"210",2022-07-29,27.6
"211",2022-07-30,31.1
"212",2022-07-31,31.6
"213",2022-08-01,30.6
"214",2022-08-02,24.9
"215",2022-08-03,30.4
"216",2022-08-04,28.9
"217",2022-08-05,31.2
"218",2022-08-06,27.9
"219",2022-08-07,29.1
"220",2022-08-08,28.7
"221",2022-08-09,30.1
"222",2022-08-10,30.6
"223",2022-08-11,29.5
"224",2022-08-12,32.9
"225",2022-08-13,24.3
"226",2022-08-14,30.9
"227",2022-08-15,30.7
"228",2022-08-16,26.9
"229",2022-08-17,29.7
"230",2022-08-18,25.4
"231",2022-08-19,32
"232",2022-08-20,31.4
"233",2022-08-21,36
"234",2022-08-22,30.6
"235",2022-08-23,29
"236",2022-08-24,28.9
"237",2022-08-25,31.5
"238",2022-08-26,32.2
"239",2022-08-27,33.3
"240",2022-08-28,31.6
"241",2022-08-29,23.9
"242",2022-08-30,33.7
"243",2022-08-31,31.9
"244",2022-09-01,28
"245",2022-09-02,35.9
"246",2022-09-03,30.1
"247",2022-09-04,32.7
"248",2022-09-05,33.5
