"","time","temperature"
"1",2020-01-01,22.284
"2",2020-01-02,22.44
"3",2020-01-03,23.136
"4",2020-01-04,22.64
"5",2020-01-05,22.976
"6",2020-01-06,22.404
"7",2020-01-07,22.624
"8",2020-01-08,22.368
"9",2020-01-09,22.7
"10",2020-01-10,22.252
"11",2020-01-11,23.312
"12",2020-01-12,22.844
"13",2020-01-13,21.392
"14",2020-01-14,22.896
"15",2020-01-15,24.008
"16",2020-01-16,23.532
"17",2020-01-17,23.508
"18",2020-01-18,24.44
"19",2020-01-19,24.024
"20",2020-01-20,23.92
"21",2020-01-21,24.5
"22",2020-01-22,24.728
"23",2020-01-23,24.748
"24",2020-01-24,24.776
"25",2020-01-25,24.128
"26",2020-01-26,22.78
"27",2020-01-27,21.792
"28",2020-01-28,20.424
"29",2020-01-29,19.852
"30",2020-01-30,20.916
"31",2020-01-31,19.832
"32",2020-02-01,20.68
"33",2020-02-02,21.6
"34",2020-02-03,21.572
"35",2020-02-04,21.308
"36",2020-02-05,21.02
"37",2020-02-06,21.024
"38",2020-02-07,22.592
"39",2020-02-08,23.192
"40",2020-02-09,23.232
"41",2020-02-10,23.716
"42",2020-02-11,23.344
"43",2020-02-12,23.98
"44",2020-02-13,24.52
"45",2020-02-14,23.648
"46",2020-02-15,22.224
"47",2020-02-16,22.828
"48",2020-02-17,24.348
"49",2020-02-18,23.54
"50",2020-02-19,23.452
"51",2020-02-20,24.208
"52",2020-02-21,23.976
"53",2020-02-22,24.168
"54",2020-02-23,24.504
"55",2020-02-24,24.444
"56",2020-02-25,23.268
"57",2020-02-26,23.196
"58",2020-02-27,23.584
"59",2020-02-28,22.272
"60",2020-02-29,22.524
"61",2020-03-01,22.932
"62",2020-03-02,22.348
"63",2020-03-03,22.18
"64",2020-03-04,21.836
"65",2020-03-05,22.812
"66",2020-03-06,23.26
"67",2020-03-07,23.716
"68",2020-03-08,22.972
"69",2020-03-09,22.116
"70",2020-03-10,22.716
"71",2020-03-11,22.416
"72",2020-03-12,22.348
"73",2020-03-13,21.656
"74",2020-03-14,22.752
"75",2020-03-15,22.984
"76",2020-03-16,21.82
"77",2020-03-17,23.212
"78",2020-03-18,21.812
"79",2020-03-19,21.752
"80",2020-03-20,22.556
"81",2020-03-21,22.88
"82",2020-03-22,22.412
"83",2020-03-23,21.872
"84",2020-03-24,22.332
"85",2020-03-25,21.56
"86",2020-03-26,21.564
"87",2020-03-27,21.028
"88",2020-03-28,20.88
"89",2020-03-29,21.672
"90",2020-03-30,22.568
"91",2020-03-31,22.432
"92",2020-04-01,23.032
"93",2020-04-02,24.06
"94",2020-04-03,23.244
"95",2020-04-04,23.02
"96",2020-04-05,23.024
"97",2020-04-06,23.064
"98",2020-04-07,23.012
"99",2020-04-08,23.096
"100",2020-04-09,23.54
"101",2020-04-10,22.86
"102",2020-04-11,23.24
"103",2020-04-12,22.388
"104",2020-04-13,21.536
"105",2020-04-14,21.232
"106",2020-04-15,21.916
"107",2020-04-16,23.016
"108",2020-04-17,21.468
"109",2020-04-18,20.568
"110",2020-04-19,20.896
"111",2020-04-20,19.596
"112",2020-04-21,20.012
"113",2020-04-22,21.22
"114",2020-04-23,20.112
"115",2020-04-24,21.156
"116",2020-04-25,21.664
"117",2020-04-26,21.832
"118",2020-04-27,21.828
"119",2020-04-28,21.476
"120",2020-04-29,21.028
"121",2020-04-30,21.464
"122",2020-05-01,21.048
"123",2020-05-02,19.624
"124",2020-05-03,20.676
"125",2020-05-04,21.316
"126",2020-05-05,21.42
"127",2020-05-06,21.288
"128",2020-05-07,21.648
"129",2020-05-08,20.8
"130",2020-05-09,20.884
"131",2020-05-10,20.544
"132",2020-05-11,20.768
"133",2020-05-12,20.916
"134",2020-05-13,21.324
"135",2020-05-14,21.896
"136",2020-05-15,21.652
"137",2020-05-16,20.936
"138",2020-05-17,21.604
"139",2020-05-18,20.784
"140",2020-05-19,20.856
"141",2020-05-20,20.852
"142",2020-05-21,21.196
"143",2020-05-22,20.752
"144",2020-05-23,20.944
"145",2020-05-24,21.104
"146",2020-05-25,21.344
"147",2020-05-26,22.252
"148",2020-05-27,22.232
"149",2020-05-28,22.092
"150",2020-05-29,21.816
"151",2020-05-30,21.908
"152",2020-05-31,21.984
"153",2020-06-01,21.968
"154",2020-06-02,21.404
"155",2020-06-03,21.144
"156",2020-06-04,20.616
"157",2020-06-05,20.992
"158",2020-06-06,20.976
"159",2020-06-07,21.172
"160",2020-06-08,20.356
"161",2020-06-09,20.896
"162",2020-06-10,19.784
"163",2020-06-11,20.192
"164",2020-06-12,19.816
"165",2020-06-13,20.26
"166",2020-06-14,20.42
"167",2020-06-15,20.412
"168",2020-06-16,20.94
"169",2020-06-17,21.348
"170",2020-06-18,21.08
"171",2020-06-19,20.492
"172",2020-06-20,20.256
"173",2020-06-21,20.688
"174",2020-06-22,21.14
"175",2020-06-23,21.092
"176",2020-06-24,21.048
"177",2020-06-25,20.092
"178",2020-06-26,20.668
"179",2020-06-27,20.248
"180",2020-06-28,21.304
"181",2020-06-29,20.98
"182",2020-06-30,21.1
"183",2020-07-01,20.916
"184",2020-07-02,20.8
"185",2020-07-03,21.128
"186",2020-07-04,21.4
"187",2020-07-05,21.06
"188",2020-07-06,20.248
"189",2020-07-07,20.984
"190",2020-07-08,20.456
"191",2020-07-09,21.34
"192",2020-07-10,20.652
"193",2020-07-11,20.688
"194",2020-07-12,21.152
"195",2020-07-13,21.284
"196",2020-07-14,20.476
"197",2020-07-15,21.32
"198",2020-07-16,19.524
"199",2020-07-17,19.532
"200",2020-07-18,20.4
"201",2020-07-19,20.3
"202",2020-07-20,21.236
"203",2020-07-21,20.86
"204",2020-07-22,21.024
"205",2020-07-23,20.828
"206",2020-07-24,21.084
"207",2020-07-25,21.028
"208",2020-07-26,21.432
"209",2020-07-27,21.272
"210",2020-07-28,20.892
"211",2020-07-29,21.204
"212",2020-07-30,21.304
"213",2020-07-31,22.332
"214",2020-08-01,21.52
"215",2020-08-02,20.872
"216",2020-08-03,20.3
"217",2020-08-04,20.172
"218",2020-08-05,21.612
"219",2020-08-06,22.344
"220",2020-08-07,21.88
"221",2020-08-08,21.204
"222",2020-08-09,22.044
"223",2020-08-10,22.108
"224",2020-08-11,22.164
"225",2020-08-12,21.944
"226",2020-08-13,22.3
"227",2020-08-14,21.456
"228",2020-08-15,22.032
"229",2020-08-16,21.876
"230",2020-08-17,21.864
"231",2020-08-18,21.704
"232",2020-08-19,22.472
"233",2020-08-20,21.392
"234",2020-08-21,21.652
"235",2020-08-22,21.324
"236",2020-08-23,20.664
"237",2020-08-24,20.28
"238",2020-08-25,20.56
"239",2020-08-26,21.148
"240",2020-08-27,20.996
"241",2020-08-28,21.716
"242",2020-08-29,21.228
"243",2020-08-30,21.672
"244",2020-08-31,21.24
"245",2020-09-01,21.036
"246",2020-09-02,21.88
"247",2020-09-03,21.684
"248",2020-09-04,22.596
"249",2020-09-05,22.392
"250",2020-09-06,20.728
"251",2020-09-07,19.36
"252",2020-09-08,20.88
"253",2020-09-09,21.176
"254",2020-09-10,21.06
"255",2020-09-11,21.276
"256",2020-09-12,20.716
"257",2020-09-13,21.46
"258",2020-09-14,21.924
"259",2020-09-15,22.312
"260",2020-09-16,22.304
"261",2020-09-17,23.212
"262",2020-09-18,23.096
"263",2020-09-19,22.868
"264",2020-09-20,22.38
"265",2020-09-21,21.704
"266",2020-09-22,22.068
"267",2020-09-23,21.068
"268",2020-09-24,21.652
"269",2020-09-25,20.732
"270",2020-09-26,21.324
"271",2020-09-27,22.052
"272",2020-09-28,22.008
"273",2020-09-29,21.852
"274",2020-09-30,21.44
"275",2020-10-01,21.496
"276",2020-10-02,21.404
"277",2020-10-03,21.424
"278",2020-10-04,21.504
"279",2020-10-05,22.644
"280",2020-10-06,21.724
"281",2020-10-07,21.1
"282",2020-10-08,22.612
"283",2020-10-09,22.04
"284",2020-10-10,20.536
"285",2020-10-11,21.824
"286",2020-10-12,20.72
"287",2020-10-13,20.54
"288",2020-10-14,20.948
"289",2020-10-15,21.356
"290",2020-10-16,22.132
"291",2020-10-17,21.42
"292",2020-10-18,21.592
"293",2020-10-19,21.636
"294",2020-10-20,21.652
"295",2020-10-21,21.46
"296",2020-10-22,21.38
"297",2020-10-23,21.348
"298",2020-10-24,22.328
"299",2020-10-25,22.536
"300",2020-10-26,20.108
"301",2020-10-27,20.624
"302",2020-10-28,21.008
"303",2020-10-29,20.652
"304",2020-10-30,19.628
"305",2020-10-31,20.524
"306",2020-11-01,21.464
"307",2020-11-02,21.932
"308",2020-11-03,22.316
"309",2020-11-04,22.328
"310",2020-11-05,22.392
"311",2020-11-06,20.852
"312",2020-11-07,20.808
"313",2020-11-08,21.268
"314",2020-11-09,20.6
"315",2020-11-10,21.62
"316",2020-11-11,20.232
"317",2020-11-12,21.416
"318",2020-11-13,21.476
"319",2020-11-14,20.292
"320",2020-11-15,20.924
"321",2020-11-16,19.5
"322",2020-11-17,20.448
"323",2020-11-18,20.796
"324",2020-11-19,21.208
"325",2020-11-20,21.98
"326",2020-11-21,22.088
"327",2020-11-22,21.568
"328",2020-11-23,22.136
"329",2020-11-24,22.944
"330",2020-11-25,18.844
"331",2020-11-26,20.572
"332",2020-11-27,21.608
"333",2020-11-28,21.472
"334",2020-11-29,20.212
"335",2020-11-30,20.6
"336",2020-12-01,20.944
