latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.375,32.375,1184.0,10800,Africa/Kampala,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),wind_gusts_10m (km/h)
2024-01-01T00:00,19.9,97,19.4,23.3,0.00,100,3.2
2024-01-01T01:00,19.7,97,19.2,23.0,0.00,100,2.9
2024-01-01T02:00,19.8,97,19.3,23.0,0.00,100,2.9
2024-01-01T03:00,19.8,96,19.1,22.9,0.00,100,2.5
2024-01-01T04:00,19.7,96,19.0,22.9,0.00,100,2.2
2024-01-01T05:00,19.5,95,18.7,22.6,0.00,100,1.8
2024-01-01T06:00,19.7,94,18.7,22.7,0.00,100,1.4
2024-01-01T07:00,20.3,92,19.0,23.5,0.00,99,2.5
2024-01-01T08:00,21.3,90,19.6,24.7,0.00,99,3.2
2024-01-01T09:00,21.9,89,20.0,25.4,0.00,98,4.3
2024-01-01T10:00,21.5,91,20.0,25.0,0.00,100,7.9
2024-01-01T11:00,22.3,88,20.2,25.4,0.00,100,14.0
2024-01-01T12:00,22.9,85,20.3,25.8,0.00,100,19.8
2024-01-01T13:00,23.5,83,20.5,26.5,0.00,100,19.4
2024-01-01T14:00,25.7,70,19.8,29.3,0.00,98,14.8
2024-01-01T15:00,25.8,70,19.9,28.9,0.00,100,11.2
2024-01-01T16:00,25.8,71,20.2,29.0,0.00,100,9.4
2024-01-01T17:00,24.7,76,20.2,27.6,0.00,100,11.5
2024-01-01T18:00,24.0,76,19.5,26.8,0.00,100,11.5
2024-01-01T19:00,23.3,80,19.6,26.5,0.00,100,10.1
2024-01-01T20:00,22.3,84,19.5,25.7,0.00,100,5.4
2024-01-01T21:00,21.4,88,19.4,24.6,0.00,100,2.9
2024-01-01T22:00,21.0,88,19.0,24.1,0.00,100,2.9
2024-01-01T23:00,20.3,91,18.8,23.3,0.00,100,3.6
2024-01-02T00:00,19.7,93,18.6,22.6,0.00,100,3.6
2024-01-02T01:00,19.1,95,18.3,21.8,0.00,100,3.2
2024-01-02T02:00,18.5,97,18.0,21.1,0.00,100,3.2
2024-01-02T03:00,18.7,95,17.9,21.3,0.00,84,3.2
2024-01-02T04:00,18.5,96,17.8,21.0,0.00,99,2.9
2024-01-02T05:00,18.4,96,17.7,21.0,0.00,100,2.5
2024-01-02T06:00,18.5,96,17.8,21.1,0.00,100,1.4
2024-01-02T07:00,18.1,97,17.6,20.6,0.00,100,2.9
2024-01-02T08:00,18.7,97,18.2,21.4,0.00,100,3.6
2024-01-02T09:00,22.4,86,19.9,26.0,0.00,50,5.0
2024-01-02T10:00,24.3,78,20.2,27.8,0.00,90,6.1
2024-01-02T11:00,25.6,72,20.1,29.6,0.00,100,6.5
2024-01-02T12:00,26.1,69,20.0,30.2,0.00,100,16.6
2024-01-02T13:00,26.2,70,20.3,30.5,0.00,100,16.9
