latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-01T00:00,18.1,98,17.7,0.00,0.00
2024-01-01T01:00,18.1,98,17.9,0.00,0.00
2024-01-01T02:00,18.1,98,17.8,0.00,0.00
2024-01-01T03:00,17.5,98,17.3,0.00,0.00
2024-01-01T04:00,17.7,96,17.0,0.00,0.00
2024-01-01T05:00,18.3,93,17.2,0.00,0.00
2024-01-01T06:00,16.8,98,16.5,0.00,0.00
2024-01-01T07:00,17.1,98,16.8,0.00,0.00
2024-01-01T08:00,18.8,93,17.7,0.00,0.00
2024-01-01T09:00,21.3,83,18.2,0.00,0.00
2024-01-01T10:00,23.5,72,18.1,0.00,0.00
2024-01-01T11:00,25.1,65,18.1,0.10,0.10
2024-01-01T12:00,26.6,59,18.0,0.00,0.00
2024-01-01T13:00,26.8,57,17.7,0.00,0.00
2024-01-01T14:00,26.9,54,16.8,0.00,0.00
2024-01-01T15:00,23.6,73,18.4,1.00,1.00
2024-01-01T16:00,24.3,74,19.3,0.10,0.10
2024-01-01T17:00,23.8,75,19.2,1.80,1.80
2024-01-01T18:00,23.3,80,19.7,0.00,0.00
2024-01-01T19:00,21.3,93,20.1,0.00,0.00
2024-01-01T20:00,20.5,95,19.6,0.00,0.00
2024-01-01T21:00,19.6,95,18.8,0.00,0.00
2024-01-01T22:00,20.2,92,18.9,0.00,0.00
2024-01-01T23:00,20.0,92,18.7,0.00,0.00
2024-01-02T00:00,19.1,94,18.1,0.00,0.00
2024-01-02T01:00,18.3,95,17.5,0.00,0.00
2024-01-02T02:00,19.0,94,18.0,0.00,0.00
2024-01-02T03:00,19.0,94,18.1,0.10,0.10
2024-01-02T04:00,18.9,100,18.8,0.00,0.00
2024-01-02T05:00,18.9,100,18.9,0.00,0.00
2024-01-02T06:00,19.0,99,18.9,0.00,0.00
2024-01-02T07:00,18.8,100,18.7,0.00,0.00
2024-01-02T08:00,19.5,96,18.8,0.00,0.00
2024-01-02T09:00,21.5,85,18.8,0.00,0.00
2024-01-02T10:00,22.5,77,18.3,0.20,0.20
2024-01-02T11:00,24.6,68,18.2,0.00,0.00
2024-01-02T12:00,25.9,61,17.8,0.00,0.00
2024-01-02T13:00,27.5,55,17.8,0.00,0.00
2024-01-02T14:00,27.7,55,17.8,0.10,0.10
2024-01-02T15:00,28.3,52,17.4,0.00,0.00
2024-01-02T16:00,23.5,83,20.5,0.30,0.30
2024-01-02T17:00,24.3,80,20.6,0.00,0.00
2024-01-02T18:00,23.3,85,20.6,0.00,0.00
2024-01-02T19:00,21.5,98,21.1,0.00,0.00
2024-01-02T20:00,21.1,98,20.8,0.00,0.00
2024-01-02T21:00,20.8,96,20.2,0.00,0.00
2024-01-02T22:00,20.5,96,19.8,0.00,0.00
2024-01-02T23:00,20.1,95,19.3,0.00,0.00
2024-01-03T00:00,19.4,96,18.7,1.30,1.30
2024-01-03T01:00,19.6,96,19.0,0.10,0.10
2024-01-03T02:00,19.1,97,18.6,0.10,0.10
2024-01-03T03:00,19.2,92,18.0,0.10,0.10
2024-01-03T04:00,19.3,84,16.6,0.30,0.30
2024-01-03T05:00,18.5,94,17.5,3.10,3.10
2024-01-03T06:00,18.0,97,17.5,1.60,1.60
2024-01-03T07:00,18.1,95,17.3,0.00,0.00
2024-01-03T08:00,18.6,94,17.7,0.00,0.00
2024-01-03T09:00,19.8,93,18.6,0.00,0.00
2024-01-03T10:00,21.0,85,18.5,0.00,0.00
2024-01-03T11:00,22.6,77,18.3,0.00,0.00
2024-01-03T12:00,24.8,66,18.1,0.00,0.00
2024-01-03T13:00,26.2,59,17.6,0.00,0.00
2024-01-03T14:00,27.2,55,17.4,0.00,0.00
2024-01-03T15:00,28.1,51,16.9,0.00,0.00
2024-01-03T16:00,27.6,43,13.8,0.00,0.00
2024-01-03T17:00,27.2,44,13.8,0.00,0.00
2024-01-03T18:00,26.2,51,15.2,0.00,0.00
2024-01-03T19:00,23.1,63,15.6,0.00,0.00
