"","time","temperature","year"
"1",2022-01-01,26.9,"2022"
"2",2022-01-02,32,"2022"
"3",2022-01-03,31.7,"2022"
"4",2022-01-04,33.1,"2022"
"5",2022-01-05,33.4,"2022"
"6",2022-01-06,35.2,"2022"
"7",2022-01-07,35,"2022"
"8",2022-01-08,33.2,"2022"
"9",2022-01-09,33.4,"2022"
"10",2022-01-10,34.6,"2022"
"11",2022-01-11,34.1,"2022"
"12",2022-01-12,35.9,"2022"
"13",2022-01-13,33.8,"2022"
"14",2022-01-14,36.2,"2022"
"15",2022-01-15,31,"2022"
"16",2022-01-16,31.9,"2022"
"17",2022-01-17,21.5,"2022"
"18",2022-01-18,26.7,"2022"
"19",2022-01-19,29.8,"2022"
"20",2022-01-20,31.3,"2022"
"21",2022-01-21,31.2,"2022"
"22",2022-01-22,31.9,"2022"
"23",2022-01-23,31.9,"2022"
"24",2022-01-24,33.3,"2022"
"25",2022-01-25,33.9,"2022"
"26",2022-01-26,34,"2022"
"27",2022-01-27,32.3,"2022"
"28",2022-01-28,30.5,"2022"
"29",2022-01-29,34,"2022"
"30",2022-01-30,35,"2022"
"31",2022-01-31,25.6,"2022"
"32",2022-02-01,26.8,"2022"
"33",2022-02-02,34.5,"2022"
"34",2022-02-03,32.7,"2022"
"35",2022-02-04,30.8,"2022"
"36",2022-02-05,30.8,"2022"
"37",2022-02-06,34.3,"2022"
"38",2022-02-07,32.4,"2022"
"39",2022-02-08,35.8,"2022"
"40",2022-02-09,33.3,"2022"
"41",2022-02-10,32.3,"2022"
"42",2022-02-11,34.6,"2022"
"43",2022-02-12,34,"2022"
"44",2022-02-13,34.3,"2022"
"45",2022-02-14,36.3,"2022"
"46",2022-02-15,34.3,"2022"
"47",2022-02-16,33.4,"2022"
"48",2022-02-17,32.6,"2022"
"49",2022-02-18,31.6,"2022"
"50",2022-02-19,33.8,"2022"
"51",2022-02-20,32.9,"2022"
"52",2022-02-21,32.7,"2022"
"53",2022-02-22,37,"2022"
"54",2022-02-23,34,"2022"
"55",2022-02-24,33.1,"2022"
"56",2022-02-25,33.7,"2022"
"57",2022-02-26,34,"2022"
"58",2022-02-27,33.1,"2022"
"59",2022-02-28,33.7,"2022"
"60",2022-03-01,35.5,"2022"
"61",2022-03-02,35.1,"2022"
"62",2022-03-03,35.2,"2022"
"63",2022-03-04,34,"2022"
"64",2022-03-05,36.2,"2022"
"65",2022-03-06,36.4,"2022"
"66",2022-03-07,35.7,"2022"
"67",2022-03-08,35.2,"2022"
"68",2022-03-09,38.6,"2022"
"69",2022-03-10,35.9,"2022"
"70",2022-03-11,35.1,"2022"
"71",2022-03-12,36.9,"2022"
"72",2022-03-13,36.3,"2022"
"73",2022-03-14,37,"2022"
"74",2022-03-15,35.2,"2022"
"75",2022-03-16,34.8,"2022"
"76",2022-03-17,31,"2022"
"77",2022-03-18,31.7,"2022"
"78",2022-03-19,33.1,"2022"
"79",2022-03-20,33,"2022"
"80",2022-03-21,37.5,"2022"
"81",2022-03-22,31.4,"2022"
"82",2022-03-23,32.3,"2022"
"83",2022-03-24,35.4,"2022"
"84",2022-03-25,33.4,"2022"
"85",2022-03-26,33.7,"2022"
"86",2022-03-27,33.9,"2022"
"87",2022-03-28,33.1,"2022"
"88",2022-03-29,35.1,"2022"
"89",2022-03-30,31.4,"2022"
"90",2022-03-31,31.5,"2022"
"91",2022-04-01,34.8,"2022"
"92",2022-04-02,32.5,"2022"
"93",2022-04-03,34.1,"2022"
"94",2022-04-04,35.3,"2022"
"95",2022-04-05,35.2,"2022"
"96",2022-04-06,34.1,"2022"
"97",2022-04-07,34.2,"2022"
"98",2022-04-08,32.7,"2022"
"99",2022-04-09,33.7,"2022"
"100",2022-04-10,33.5,"2022"
"101",2022-04-11,31.8,"2022"
"102",2022-04-12,29.4,"2022"
"103",2022-04-13,34.5,"2022"
"104",2022-04-14,31.3,"2022"
"105",2022-04-15,29.4,"2022"
"106",2022-04-16,21.3,"2022"
"107",2022-04-17,34.1,"2022"
"108",2022-04-18,33.7,"2022"
"109",2022-04-19,34.6,"2022"
"110",2022-04-20,30.3,"2022"
"111",2022-04-21,28.8,"2022"
"112",2022-04-22,29.1,"2022"
"113",2022-04-23,34.2,"2022"
"114",2022-04-24,21.8,"2022"
"115",2022-04-25,22.9,"2022"
"116",2022-04-26,31.6,"2022"
"117",2022-04-27,27.8,"2022"
"118",2022-04-28,30.1,"2022"
"119",2022-04-29,26.6,"2022"
"120",2022-04-30,31.2,"2022"
"121",2022-05-01,28.6,"2022"
"122",2022-05-02,29.4,"2022"
"123",2022-05-03,29.8,"2022"
"124",2022-05-04,28.7,"2022"
"125",2022-05-05,29.5,"2022"
"126",2022-05-06,28,"2022"
"127",2022-05-07,30.1,"2022"
"128",2022-05-08,31.2,"2022"
"129",2022-05-09,32.4,"2022"
"130",2022-05-10,32.5,"2022"
"131",2022-05-11,32.8,"2022"
"132",2022-05-12,31.6,"2022"
"133",2022-05-13,32.3,"2022"
"134",2022-05-14,30.7,"2022"
"135",2022-05-15,32.6,"2022"
"136",2022-05-16,31.2,"2022"
"137",2022-05-17,31.9,"2022"
"138",2022-05-18,31.4,"2022"
"139",2022-05-19,29.1,"2022"
"140",2022-05-20,30.3,"2022"
"141",2022-05-21,30.9,"2022"
"142",2022-05-22,33,"2022"
"143",2022-05-23,32.2,"2022"
"144",2022-05-24,31.3,"2022"
"145",2022-05-25,27.4,"2022"
"146",2022-05-26,32,"2022"
"147",2022-05-27,31.2,"2022"
"148",2022-05-28,29.3,"2022"
"149",2022-05-29,27.1,"2022"
"150",2022-05-30,25.9,"2022"
"151",2022-05-31,29.7,"2022"
"152",2022-06-01,28.9,"2022"
"153",2022-06-02,29.1,"2022"
"154",2022-06-03,27.9,"2022"
"155",2022-06-04,28.6,"2022"
"156",2022-06-05,27.1,"2022"
"157",2022-06-06,29,"2022"
"158",2022-06-07,29.6,"2022"
"159",2022-06-08,23,"2022"
"160",2022-06-09,26.8,"2022"
"161",2022-06-10,29.3,"2022"
"162",2022-06-11,29,"2022"
"163",2022-06-12,31,"2022"
"164",2022-06-13,31,"2022"
"165",2022-06-14,32.6,"2022"
