"","time","temperature"
"1",2023-01-01,30.3
"2",2023-01-02,29
"3",2023-01-03,29.2
"4",2023-01-04,29.7
"5",2023-01-05,31.2
"6",2023-01-06,31.3
"7",2023-01-07,32
"8",2023-01-08,29.8
"9",2023-01-09,30.9
"10",2023-01-10,24.6
"11",2023-01-11,27.7
"12",2023-01-12,27.8
"13",2023-01-13,30
"14",2023-01-14,28.5
"15",2023-01-15,30.7
"16",2023-01-16,30.8
"17",2023-01-17,29.6
"18",2023-01-18,30.4
"19",2023-01-19,31.1
"20",2023-01-20,31.9
"21",2023-01-21,32
"22",2023-01-22,31.3
"23",2023-01-23,29.3
"24",2023-01-24,31.1
"25",2023-01-25,32.3
"26",2023-01-26,31.8
"27",2023-01-27,31.2
"28",2023-01-28,33.2
"29",2023-01-29,32
"30",2023-01-30,31.2
"31",2023-01-31,33.6
"32",2023-02-01,30.7
"33",2023-02-02,33.1
"34",2023-02-03,31.6
"35",2023-02-04,32.3
"36",2023-02-05,32.2
"37",2023-02-06,32.3
"38",2023-02-07,30.7
"39",2023-02-08,32
"40",2023-02-09,28.6
"41",2023-02-10,32
"42",2023-02-11,33
"43",2023-02-12,33.6
"44",2023-02-13,32.4
"45",2023-02-14,32.3
"46",2023-02-15,34.1
"47",2023-02-16,30.6
"48",2023-02-17,32.4
"49",2023-02-18,33.4
"50",2023-02-19,33.3
"51",2023-02-20,33.2
"52",2023-02-21,33.8
"53",2023-02-22,31.9
"54",2023-02-23,33.4
"55",2023-02-24,31.9
"56",2023-02-25,30.7
"57",2023-02-26,29.6
"58",2023-02-27,31.9
"59",2023-02-28,28
"60",2023-03-01,28.5
"61",2023-03-02,27.3
"62",2023-03-03,27.4
"63",2023-03-04,30.5
"64",2023-03-05,31.6
"65",2023-03-06,32.9
"66",2023-03-07,33.8
"67",2023-03-08,35.1
"68",2023-03-09,33
"69",2023-03-10,28.3
"70",2023-03-11,29
"71",2023-03-12,26.9
"72",2023-03-13,29.6
"73",2023-03-14,25.2
"74",2023-03-15,27.2
"75",2023-03-16,27.1
"76",2023-03-17,26.4
"77",2023-03-18,28
"78",2023-03-19,29.4
"79",2023-03-20,24.8
"80",2023-03-21,27.7
"81",2023-03-22,27.9
"82",2023-03-23,27.8
"83",2023-03-24,31.1
"84",2023-03-25,26.8
"85",2023-03-26,26.9
"86",2023-03-27,30.1
"87",2023-03-28,25.7
"88",2023-03-29,28.7
"89",2023-03-30,28.9
"90",2023-03-31,27.1
"91",2023-04-01,26.2
"92",2023-04-02,30.7
"93",2023-04-03,26.6
"94",2023-04-04,28.6
"95",2023-04-05,28.3
"96",2023-04-06,26
"97",2023-04-07,29.8
"98",2023-04-08,30
"99",2023-04-09,29
"100",2023-04-10,30.5
"101",2023-04-11,31.7
"102",2023-04-12,31.7
"103",2023-04-13,28.1
"104",2023-04-14,27.5
"105",2023-04-15,29.3
"106",2023-04-16,28.7
"107",2023-04-17,28
"108",2023-04-18,26.8
"109",2023-04-19,27.7
"110",2023-04-20,28.4
"111",2023-04-21,29.8
"112",2023-04-22,24.6
"113",2023-04-23,26.1
"114",2023-04-24,28.7
"115",2023-04-25,26.5
"116",2023-04-26,23.5
"117",2023-04-27,27.1
"118",2023-04-28,27.3
"119",2023-04-29,25.7
"120",2023-04-30,23.5
"121",2023-05-01,22.9
"122",2023-05-02,29.2
"123",2023-05-03,27.6
"124",2023-05-04,29.1
"125",2023-05-05,29.4
"126",2023-05-06,30.5
"127",2023-05-07,28.3
"128",2023-05-08,31.4
"129",2023-05-09,32.5
"130",2023-05-10,27.6
"131",2023-05-11,28.7
"132",2023-05-12,29.4
"133",2023-05-13,30.1
"134",2023-05-14,28.8
"135",2023-05-15,31.1
"136",2023-05-16,31.4
"137",2023-05-17,31.8
"138",2023-05-18,31.6
"139",2023-05-19,30.6
"140",2023-05-20,32
"141",2023-05-21,33
"142",2023-05-22,30.1
"143",2023-05-23,31.8
"144",2023-05-24,31.3
"145",2023-05-25,29.8
"146",2023-05-26,26.8
"147",2023-05-27,29.9
"148",2023-05-28,28.3
"149",2023-05-29,28.2
"150",2023-05-30,27.8
"151",2023-05-31,28
"152",2023-06-01,28.8
"153",2023-06-02,28.4
"154",2023-06-03,28.5
"155",2023-06-04,27.8
"156",2023-06-05,30.2
"157",2023-06-06,27.7
"158",2023-06-07,29.7
"159",2023-06-08,27.5
"160",2023-06-09,27.5
"161",2023-06-10,27.8
"162",2023-06-11,31
"163",2023-06-12,31.6
"164",2023-06-13,31.5
"165",2023-06-14,30.3
"166",2023-06-15,31.1
"167",2023-06-16,32.5
"168",2023-06-17,30.9
"169",2023-06-18,28.5
"170",2023-06-19,28.5
"171",2023-06-20,30.2
"172",2023-06-21,30.7
"173",2023-06-22,27.1
"174",2023-06-23,28.6
"175",2023-06-24,27.3
"176",2023-06-25,26.8
"177",2023-06-26,29.7
"178",2023-06-27,29.7
"179",2023-06-28,30.2
"180",2023-06-29,31
"181",2023-06-30,27.8
"182",2023-07-01,28.9
"183",2023-07-02,27.7
"184",2023-07-03,25.7
"185",2023-07-04,24.9
"186",2023-07-05,26.5
"187",2023-07-06,25.5
"188",2023-07-07,24.9
"189",2023-07-08,25.9
"190",2023-07-09,28.2
"191",2023-07-10,29.8
"192",2023-07-11,30.5
"193",2023-07-12,30.5
"194",2023-07-13,28.6
"195",2023-07-14,26.8
"196",2023-07-15,27.1
"197",2023-07-16,28.9
"198",2023-07-17,28.4
"199",2023-07-18,27.5
"200",2023-07-19,27.5
"201",2023-07-20,27.6
"202",2023-07-21,29.2
"203",2023-07-22,28
"204",2023-07-23,28.3
"205",2023-07-24,28.4
"206",2023-07-25,28.3
"207",2023-07-26,26.5
"208",2023-07-27,27.6
"209",2023-07-28,27.6
"210",2023-07-29,31.5
"211",2023-07-30,31
"212",2023-07-31,33.7
"213",2023-08-01,30.3
"214",2023-08-02,26.2
"215",2023-08-03,25.9
"216",2023-08-04,26.9
"217",2023-08-05,28.1
"218",2023-08-06,26.2
"219",2023-08-07,27.1
"220",2023-08-08,26.7
"221",2023-08-09,30.1
"222",2023-08-10,29.8
"223",2023-08-11,31.4
"224",2023-08-12,30.7
"225",2023-08-13,30.1
"226",2023-08-14,29.9
"227",2023-08-15,29
"228",2023-08-16,32.8
"229",2023-08-17,30.6
"230",2023-08-18,29
"231",2023-08-19,30
"232",2023-08-20,31.8
"233",2023-08-21,32.8
"234",2023-08-22,32.3
"235",2023-08-23,31.6
"236",2023-08-24,30.5
"237",2023-08-25,34.2
"238",2023-08-26,32.8
"239",2023-08-27,33.5
"240",2023-08-28,28.5
"241",2023-08-29,27.5
"242",2023-08-30,28.7
"243",2023-08-31,31.1
"244",2023-09-01,32.7
"245",2023-09-02,31.9
"246",2023-09-03,31.5
"247",2023-09-04,32.2
"248",2023-09-05,29.5
"249",2023-09-06,29.7
"250",2023-09-07,31.5
"251",2023-09-08,31.9
"252",2023-09-09,31.3
"253",2023-09-10,29.4
"254",2023-09-11,28.1
"255",2023-09-12,31.2
"256",2023-09-13,31.7
"257",2023-09-14,28.1
"258",2023-09-15,30.2
"259",2023-09-16,32.2
"260",2023-09-17,33.1
"261",2023-09-18,27.4
"262",2023-09-19,28.8
"263",2023-09-20,31
"264",2023-09-21,30.7
"265",2023-09-22,31.4
"266",2023-09-23,30.4
"267",2023-09-24,29.5
"268",2023-09-25,30.6
"269",2023-09-26,32.8
"270",2023-09-27,32.8
"271",2023-09-28,29
"272",2023-09-29,31
"273",2023-09-30,32.3
"274",2023-10-01,32.1
"275",2023-10-02,31.1
"276",2023-10-03,30.3
"277",2023-10-04,30.6
"278",2023-10-05,29.7
"279",2023-10-06,31.2
"280",2023-10-07,32
"281",2023-10-08,33.4
"282",2023-10-09,34.3
"283",2023-10-10,32.2
"284",2023-10-11,25.1
"285",2023-10-12,30.4
"286",2023-10-13,32.7
"287",2023-10-14,33.6
"288",2023-10-15,31.4
"289",2023-10-16,28
"290",2023-10-17,29.6
"291",2023-10-18,30.4
"292",2023-10-19,28.7
"293",2023-10-20,28.2
"294",2023-10-21,30.4
"295",2023-10-22,31.9
"296",2023-10-23,32.6
"297",2023-10-24,32.7
"298",2023-10-25,32.9
"299",2023-10-26,30.8
"300",2023-10-27,29.8
"301",2023-10-28,27.3
"302",2023-10-29,30.5
"303",2023-10-30,30
"304",2023-10-31,28.2
"305",2023-11-01,30.3
"306",2023-11-02,28.9
"307",2023-11-03,27.3
"308",2023-11-04,26.2
"309",2023-11-05,24.3
"310",2023-11-06,29.1
"311",2023-11-07,28.5
"312",2023-11-08,29
"313",2023-11-09,32.3
"314",2023-11-10,29.6
"315",2023-11-11,29.1
"316",2023-11-12,30.1
"317",2023-11-13,27.2
"318",2023-11-14,28.1
"319",2023-11-15,27.4
"320",2023-11-16,28.8
"321",2023-11-17,27.7
"322",2023-11-18,29
"323",2023-11-19,30.6
"324",2023-11-20,28.8
"325",2023-11-21,28.7
"326",2023-11-22,29
"327",2023-11-23,29.4
"328",2023-11-24,28.6
"329",2023-11-25,28.3
"330",2023-11-26,28.7
"331",2023-11-27,28.3
"332",2023-11-28,29.5
"333",2023-11-29,29.7
"334",2023-11-30,29.8
"335",2023-12-01,31
"336",2023-12-02,29
"337",2023-12-03,28.5
"338",2023-12-04,28.8
"339",2023-12-05,29.3
"340",2023-12-06,30.1
"341",2023-12-07,30.9
"342",2023-12-08,30.6
"343",2023-12-09,31
"344",2023-12-10,28.8
"345",2023-12-11,29.3
"346",2023-12-12,30
"347",2023-12-13,31.2
"348",2023-12-14,26.8
"349",2023-12-15,28.7
"350",2023-12-16,30.6
"351",2023-12-17,32.2
"352",2023-12-18,30.8
"353",2023-12-19,32.3
"354",2023-12-20,32.4
"355",2023-12-21,31.5
"356",2023-12-22,31.4
"357",2023-12-23,30.5
"358",2023-12-24,31.6
"359",2023-12-25,32
"360",2023-12-26,30.2
"361",2023-12-27,30.3
"362",2023-12-28,27.7
"363",2023-12-29,28.1
"364",2023-12-30,28.4
"365",2023-12-31,28.7
