latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.375,32.375,1184.0,10800,Africa/Kampala,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),wind_gusts_10m (km/h)
2025-01-01T00:00,19.8,74,15.0,21.0,0.00,87,5.0
2025-01-01T01:00,19.0,80,15.5,20.5,0.00,88,5.0
2025-01-01T02:00,18.7,83,15.7,20.2,0.00,99,4.0
2025-01-01T03:00,18.9,79,15.2,20.4,0.10,100,9.0
2025-01-01T04:00,18.8,80,15.2,20.3,0.00,100,3.6
2025-01-01T05:00,18.6,82,15.4,20.2,0.00,100,2.9
2025-01-01T06:00,18.6,81,15.2,20.1,0.00,100,2.2
2025-01-01T07:00,18.8,78,14.9,20.1,0.00,100,2.5
2025-01-01T08:00,19.5,78,15.6,21.4,0.00,100,2.9
2025-01-01T09:00,22.6,70,16.9,24.7,0.00,100,2.5
2025-01-01T10:00,23.9,62,16.2,25.2,0.00,100,10.8
2025-01-01T11:00,25.3,59,16.7,26.5,0.00,100,18.4
2025-01-01T12:00,26.5,54,16.4,27.6,0.00,100,28.1
2025-01-01T13:00,27.6,47,15.3,28.7,0.00,100,28.4
2025-01-01T14:00,28.3,43,14.5,29.9,0.00,90,25.9
2025-01-01T15:00,28.2,42,14.1,29.4,0.00,90,23.0
2025-01-01T16:00,28.3,41,13.8,28.3,0.00,92,16.2
2025-01-01T17:00,28.0,41,13.5,27.8,0.00,93,16.9
2025-01-01T18:00,27.0,46,14.4,27.4,0.00,62,17.3
2025-01-01T19:00,24.7,57,15.6,26.1,0.00,37,11.5
2025-01-01T20:00,22.0,70,16.3,23.6,0.00,48,6.1
2025-01-01T21:00,21.3,70,15.6,22.6,0.00,37,8.6
2025-01-01T22:00,19.3,81,16.0,20.8,0.00,49,7.2
2025-01-01T23:00,18.6,85,16.0,20.1,0.00,71,6.1
2025-01-02T00:00,18.7,85,16.1,20.3,0.00,93,6.5
2025-01-02T01:00,18.8,85,16.2,20.6,0.00,91,5.8
2025-01-02T02:00,18.9,84,16.2,20.7,0.00,75,7.2
2025-01-02T03:00,19.0,82,15.8,20.8,0.00,70,4.0
2025-01-02T04:00,18.9,80,15.4,20.6,0.00,81,1.4
2025-01-02T05:00,18.6,78,14.7,19.9,0.00,15,2.2
2025-01-02T06:00,18.3,78,14.4,19.3,0.00,36,3.6
2025-01-02T07:00,17.0,84,14.3,18.0,0.00,83,5.0
2025-01-02T08:00,18.0,86,15.6,19.2,0.00,85,7.2
2025-01-02T09:00,22.7,78,18.7,25.2,0.00,55,13.7
2025-01-02T10:00,24.7,73,19.5,27.1,0.00,50,16.2
2025-01-02T11:00,26.1,64,18.8,29.2,0.00,59,20.9
2025-01-02T12:00,27.1,60,18.6,30.5,0.00,79,22.3
2025-01-02T13:00,26.5,65,19.4,29.1,0.00,82,23.0
2025-01-02T14:00,27.1,62,19.2,30.0,0.00,77,29.5
2025-01-02T15:00,27.5,56,17.9,29.3,0.00,89,27.4
2025-01-02T16:00,27.4,56,17.9,28.7,0.00,79,23.8
2025-01-02T17:00,27.0,57,17.7,28.0,0.00,41,23.8
2025-01-02T18:00,26.1,59,17.5,27.3,0.00,43,20.9
2025-01-02T19:00,24.0,70,18.2,25.6,0.00,9,18.0
2025-01-02T20:00,22.3,79,18.5,24.2,0.00,0,15.5
2025-01-02T21:00,20.8,85,18.2,23.0,0.00,0,13.3
2025-01-02T22:00,19.8,88,17.8,22.0,0.00,0,8.3
2025-01-02T23:00,19.1,90,17.4,21.2,0.00,28,7.6
2025-01-03T00:00,18.7,91,17.2,20.7,0.00,68,6.5
2025-01-03T01:00,18.5,93,17.4,20.7,0.00,80,5.8
2025-01-03T02:00,18.5,93,17.3,20.6,0.00,96,5.0
2025-01-03T03:00,17.6,95,16.8,19.6,0.00,79,6.1
2025-01-03T04:00,17.4,96,16.8,19.4,0.00,69,4.3
2025-01-03T05:00,17.0,97,16.5,18.8,0.00,73,5.0
2025-01-03T06:00,16.5,97,16.0,18.3,0.00,87,5.4
2025-01-03T07:00,16.5,97,16.0,18.2,0.00,91,4.0
2025-01-03T08:00,17.8,95,17.0,19.9,0.00,100,4.3
2025-01-03T09:00,22.4,82,19.1,25.5,0.00,97,4.7
2025-01-03T10:00,25.1,71,19.4,28.1,0.00,51,9.4
2025-01-03T11:00,26.2,66,19.4,29.2,0.00,71,24.5
2025-01-03T12:00,27.5,60,19.0,31.3,0.00,71,14.4
2025-01-03T13:00,28.1,56,18.5,31.1,0.00,76,21.2
2025-01-03T14:00,28.6,53,18.1,31.1,0.00,82,21.2
2025-01-03T15:00,28.3,52,17.5,29.4,0.00,56,23.4
2025-01-03T16:00,27.6,54,17.4,28.8,0.00,54,21.6
2025-01-03T17:00,27.2,55,17.4,28.5,0.00,32,17.3
2025-01-03T18:00,26.5,57,17.3,27.6,0.00,3,17.6
2025-01-03T19:00,24.5,67,18.0,26.3,0.00,1,17.6
2025-01-03T20:00,22.3,78,18.3,24.6,0.00,23,11.9
2025-01-03T21:00,20.6,86,18.1,22.9,0.00,12,9.0
2025-01-03T22:00,19.5,90,17.8,21.6,0.00,13,8.6
2025-01-03T23:00,19.0,91,17.5,20.9,0.00,43,9.4
2025-01-04T00:00,18.9,90,17.2,21.3,0.00,72,8.6
2025-01-04T01:00,19.0,90,17.3,21.4,0.00,77,1.8
2025-01-04T02:00,18.9,90,17.2,21.0,0.00,88,3.6
2025-01-04T03:00,18.3,93,17.1,20.4,0.00,93,5.8
2025-01-04T04:00,18.2,93,17.1,20.4,0.00,94,4.7
2025-01-04T05:00,18.1,93,17.0,20.3,0.00,86,4.0
2025-01-04T06:00,17.8,94,16.8,19.8,0.00,82,4.7
2025-01-04T07:00,17.8,93,16.7,20.0,0.00,65,4.7
2025-01-04T08:00,18.9,92,17.5,21.3,0.00,70,4.3
2025-01-04T09:00,22.7,82,19.5,26.0,0.00,100,3.6
2025-01-04T10:00,25.0,69,18.9,28.1,0.00,100,5.4
2025-01-04T11:00,26.6,58,17.7,29.1,0.00,100,9.4
2025-01-04T12:00,28.2,50,16.8,31.3,0.00,100,12.2
2025-01-04T13:00,28.8,49,17.0,31.9,0.00,99,22.0
2025-01-04T14:00,27.6,61,19.4,29.7,0.00,100,26.3
2025-01-04T15:00,26.1,70,20.2,29.4,0.00,100,26.3
2025-01-04T16:00,26.8,65,19.7,30.5,0.00,100,19.1
2025-01-04T17:00,26.7,62,18.8,29.8,0.00,92,15.8
2025-01-04T18:00,26.3,62,18.5,29.1,0.00,28,4.7
2025-01-04T19:00,24.5,71,18.9,27.3,0.00,2,6.8
2025-01-04T20:00,22.4,80,18.8,25.2,0.00,10,5.8
2025-01-04T21:00,21.2,85,18.6,23.8,0.00,3,6.5
2025-01-04T22:00,20.1,89,18.2,22.4,0.00,36,7.2
2025-01-04T23:00,19.2,93,18.1,21.7,0.00,53,6.8
2025-01-05T00:00,18.6,95,17.8,21.0,0.00,79,5.0
2025-01-05T01:00,18.5,95,17.7,21.0,0.00,87,4.3
2025-01-05T02:00,18.5,95,17.7,21.2,0.00,55,2.5
2025-01-05T03:00,18.2,92,16.8,20.2,0.00,54,4.0
2025-01-05T04:00,17.6,93,16.5,19.4,0.00,67,5.0
2025-01-05T05:00,17.4,93,16.3,19.2,0.00,68,5.0
2025-01-05T06:00,17.4,91,15.9,19.0,0.00,33,4.3
2025-01-05T07:00,17.2,92,15.9,18.6,0.00,36,6.1
2025-01-05T08:00,18.6,89,16.7,20.6,0.00,54,6.1
2025-01-05T09:00,22.3,81,18.9,25.3,0.00,100,4.3
2025-01-05T10:00,24.9,71,19.3,27.8,0.00,66,9.4
2025-01-05T11:00,26.9,59,18.2,30.0,0.00,39,15.5
2025-01-05T12:00,28.4,53,17.9,31.9,0.00,32,18.4
2025-01-05T13:00,29.7,47,17.2,32.9,0.00,62,20.5
2025-01-05T14:00,30.3,40,15.2,32.1,0.00,52,22.3
2025-01-05T15:00,29.8,40,14.8,30.0,0.00,63,21.2
2025-01-05T16:00,27.3,60,18.9,27.8,0.00,47,33.5
2025-01-05T17:00,27.3,56,17.8,27.9,0.00,47,33.5
2025-01-05T18:00,26.7,60,18.3,28.0,0.00,49,27.0
2025-01-05T19:00,24.2,74,19.3,26.5,0.00,0,20.2
2025-01-05T20:00,22.3,81,18.9,24.8,0.00,0,13.7
2025-01-05T21:00,21.0,87,18.7,23.7,0.00,27,7.9
2025-01-05T22:00,19.5,91,18.0,21.9,0.00,15,6.8
2025-01-05T23:00,18.7,93,17.5,20.9,0.00,47,5.8
2025-01-06T00:00,18.0,96,17.3,20.1,0.00,77,5.4
2025-01-06T01:00,17.8,97,17.3,20.1,0.00,89,5.0
2025-01-06T02:00,18.3,95,17.5,20.8,0.00,90,3.6
2025-01-06T03:00,18.4,92,17.0,20.4,0.00,86,5.0
2025-01-06T04:00,18.0,94,17.0,20.1,0.00,93,4.7
2025-01-06T05:00,17.8,94,16.8,19.8,0.00,87,4.3
2025-01-06T06:00,17.7,94,16.7,19.7,0.00,87,4.0
2025-01-06T07:00,17.6,93,16.5,19.5,0.00,89,4.0
2025-01-06T08:00,18.7,90,17.0,20.8,0.00,79,4.0
2025-01-06T09:00,22.7,79,18.9,25.9,0.00,54,5.4
2025-01-06T10:00,25.2,66,18.4,27.6,0.00,50,10.1
2025-01-06T11:00,26.9,62,19.0,29.7,0.00,50,19.1
2025-01-06T12:00,27.9,57,18.6,30.9,0.00,49,21.6
2025-01-06T13:00,28.2,56,18.6,30.8,0.00,90,23.8
2025-01-06T14:00,28.9,51,17.7,31.2,0.00,57,25.9
2025-01-06T15:00,27.5,57,18.2,29.1,0.00,86,23.4
2025-01-06T16:00,27.6,54,17.4,28.4,0.00,71,24.5
2025-01-06T17:00,26.8,57,17.5,27.4,0.00,63,25.2
