latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2020-01-01T00:00,18.3,94,17.3,0.00,0.00
2020-01-01T01:00,17.7,95,16.8,0.00,0.00
2020-01-01T02:00,17.4,95,16.6,0.00,0.00
2020-01-01T03:00,18.7,90,17.0,0.00,0.00
2020-01-01T04:00,18.7,89,16.9,0.00,0.00
2020-01-01T05:00,19.0,87,16.8,0.00,0.00
2020-01-01T06:00,17.7,92,16.4,0.00,0.00
2020-01-01T07:00,17.4,93,16.3,0.00,0.00
2020-01-01T08:00,19.0,90,17.3,0.00,0.00
2020-01-01T09:00,22.0,80,18.3,0.00,0.00
2020-01-01T10:00,24.1,64,17.0,0.00,0.00
2020-01-01T11:00,25.7,57,16.6,0.00,0.00
2020-01-01T12:00,26.7,56,17.3,0.00,0.00
2020-01-01T13:00,27.2,55,17.3,0.10,0.10
2020-01-01T14:00,27.6,51,16.5,0.00,0.00
2020-01-01T15:00,27.3,50,16.1,0.00,0.00
2020-01-01T16:00,27.5,50,16.1,0.00,0.00
2020-01-01T17:00,27.3,51,16.2,0.00,0.00
2020-01-01T18:00,25.6,66,18.8,0.00,0.00
2020-01-01T19:00,22.9,79,19.0,0.00,0.00
2020-01-01T20:00,21.4,85,18.8,0.00,0.00
2020-01-01T21:00,20.6,86,18.2,0.00,0.00
2020-01-01T22:00,20.2,85,17.5,0.00,0.00
2020-01-01T23:00,19.5,87,17.2,0.00,0.00
2020-01-02T00:00,19.0,88,16.9,0.00,0.00
2020-01-02T01:00,18.6,89,16.7,0.00,0.00
2020-01-02T02:00,18.6,88,16.6,0.00,0.00
2020-01-02T03:00,17.9,90,16.2,0.00,0.00
2020-01-02T04:00,17.5,92,16.1,0.00,0.00
2020-01-02T05:00,18.1,87,15.9,0.00,0.00
2020-01-02T06:00,18.4,85,15.8,0.00,0.00
2020-01-02T07:00,17.4,89,15.5,0.00,0.00
2020-01-02T08:00,18.9,87,16.8,0.00,0.00
2020-01-02T09:00,22.0,78,18.0,0.00,0.00
2020-01-02T10:00,24.5,64,17.2,0.00,0.00
2020-01-02T11:00,25.8,58,16.8,0.00,0.00
2020-01-02T12:00,27.2,52,16.5,0.00,0.00
2020-01-02T13:00,27.6,48,15.6,0.00,0.00
2020-01-02T14:00,27.7,47,15.5,0.00,0.00
2020-01-02T15:00,27.3,48,15.4,0.00,0.00
2020-01-02T16:00,27.6,48,15.7,0.00,0.00
2020-01-02T17:00,27.3,49,15.7,0.00,0.00
2020-01-02T18:00,24.9,72,19.5,0.00,0.00
2020-01-02T19:00,23.2,79,19.5,0.00,0.00
2020-01-02T20:00,22.3,78,18.3,0.00,0.00
2020-01-02T21:00,21.0,83,18.0,0.00,0.00
2020-01-02T22:00,20.7,82,17.5,0.00,0.00
2020-01-02T23:00,19.8,85,17.2,0.00,0.00
2020-01-03T00:00,19.5,87,17.2,0.00,0.00
2020-01-03T01:00,19.2,89,17.3,0.00,0.00
2020-01-03T02:00,19.0,89,17.1,0.00,0.00
2020-01-03T03:00,18.2,92,16.8,0.00,0.00
2020-01-03T04:00,18.1,93,16.9,0.00,0.00
2020-01-03T05:00,19.1,85,16.6,0.00,0.00
2020-01-03T06:00,19.6,82,16.3,0.00,0.00
2020-01-03T07:00,19.8,79,16.1,0.00,0.00
2020-01-03T08:00,20.5,81,17.1,0.00,0.00
2020-01-03T09:00,23.7,69,17.7,0.00,0.00
2020-01-03T10:00,25.2,60,17.0,0.00,0.00
2020-01-03T11:00,26.3,52,15.8,0.00,0.00
2020-01-03T12:00,27.1,50,15.9,0.00,0.00
2020-01-03T13:00,28.1,47,15.8,0.00,0.00
2020-01-03T14:00,28.8,45,15.6,0.00,0.00
2020-01-03T15:00,28.4,41,13.9,0.00,0.00
2020-01-03T16:00,28.3,42,14.2,0.00,0.00
2020-01-03T17:00,27.7,44,14.5,0.00,0.00
2020-01-03T18:00,26.2,60,17.9,0.00,0.00
2020-01-03T19:00,23.7,70,18.0,0.00,0.00
